date,industry,composite_score,ranking,ranking_status,capital_momentum_score,tech_activity_score,external_signal_score,score_change,ranking_change
2026-06-25,消费零售,12.499999999999998,12,trial,12.499999999999998,,,4.166666666666666,0
2026-06-25,物流供应链,54.16666666666666,6,trial,54.16666666666666,,,-4.166666666666671,-1
2026-06-25,网络安全,92.70833333333331,1,trial,79.16666666666667,100.0,,-1.4583333333333712,0
2026-06-25,跨境电商,33.33333333333333,9,trial,33.33333333333333,,,0.0,1
2026-06-26,人工智能,76.45833333333333,2,trial,79.16666666666666,75.0,,1.4583333333333286,1
2026-06-26,低空经济,29.166666666666664,10,trial,29.166666666666664,,,0.0,0
2026-06-26,储能,29.166666666666664,10,trial,29.166666666666664,,,0.0,0
2026-06-26,医药健康,36.66666666666666,8,trial,58.33333333333333,25.0,,1.4583333333333286,0
2026-06-26,半导体,59.375,5,trial,100.0,37.5,,1.4583333333333428,0
2026-06-26,新能源汽车,54.16666666666666,7,trial,54.16666666666666,,,0.0,-1
2026-06-26,旅游,70.83333333333334,3,trial,70.83333333333334,,,-8.333333333333329,-1
2026-06-26,机器人,70.625,4,trial,62.5,75.0,,2.9166666666666714,0
2026-06-26,消费零售,12.499999999999998,12,trial,12.499999999999998,,,0.0,0
2026-06-26,物流供应链,58.33333333333334,6,trial,58.333333333333336,,,4.166666666666686,0
2026-06-26,网络安全,88.33333333333333,1,trial,66.66666666666667,100.0,,-4.374999999999986,0
2026-06-26,跨境电商,29.16666666666667,9,trial,29.166666666666668,,,-4.166666666666657,0
2026-06-27,人工智能,73.54166666666666,3,trial,70.83333333333333,75.0,,-2.9166666666666714,-1
2026-06-27,低空经济,33.333333333333336,10,trial,33.333333333333336,,,4.166666666666671,0
2026-06-27,储能,20.83333333333333,11,trial,20.83333333333333,,,-8.333333333333336,-1
2026-06-27,医药健康,39.58333333333333,9,trial,66.66666666666666,25.0,,2.9166666666666714,-1
2026-06-27,半导体,56.458333333333336,6,trial,91.66666666666669,37.5,,-2.9166666666666643,-1
2026-06-27,新能源汽车,54.16666666666666,7,trial,54.16666666666666,,,0.0,0
2026-06-27,旅游,75.0,2,trial,75.0,,,4.166666666666657,1
2026-06-27,机器人,70.625,4,trial,62.5,75.0,,0.0,0
2026-06-27,消费零售,8.333333333333332,12,trial,8.333333333333332,,,-4.166666666666666,0
2026-06-27,物流供应链,62.50000000000001,5,trial,62.5,,,4.166666666666664,1
2026-06-27,网络安全,86.875,1,trial,62.50000000000001,100.0,,-1.4583333333333286,0
2026-06-27,跨境电商,41.66666666666666,8,trial,41.66666666666666,,,12.499999999999986,1
2026-06-28,人工智能,73.54166666666666,3,trial,70.83333333333333,75.0,,0.0,0
2026-06-28,低空经济,37.5,10,trial,37.5,,,4.166666666666664,0
2026-06-28,储能,20.83333333333333,11,trial,20.83333333333333,,,0.0,0
2026-06-28,医药健康,39.58333333333333,9,trial,66.66666666666666,25.0,,0.0,0
2026-06-28,半导体,56.458333333333336,6,trial,91.66666666666669,37.5,,0.0,0
2026-06-28,新能源汽车,54.16666666666666,7,trial,54.16666666666666,,,0.0,0
2026-06-28,旅游,75.0,2,trial,75.0,,,0.0,0
2026-06-28,机器人,70.625,4,trial,62.5,75.0,,0.0,0
2026-06-28,消费零售,8.333333333333332,12,trial,8.333333333333332,,,0.0,0
2026-06-28,物流供应链,58.33333333333334,5,trial,58.333333333333336,,,-4.166666666666664,0
2026-06-28,网络安全,86.875,1,trial,62.50000000000001,100.0,,0.0,0
2026-06-28,跨境电商,41.66666666666666,8,trial,41.66666666666666,,,0.0,0
2026-06-29,人工智能,73.54166666666666,3,trial,70.83333333333333,75.0,,0.0,0
2026-06-29,低空经济,37.5,10,trial,37.5,,,0.0,0
2026-06-29,储能,20.83333333333333,11,trial,20.83333333333333,,,0.0,0
2026-06-29,医药健康,39.58333333333333,9,trial,66.66666666666666,25.0,,0.0,0
2026-06-29,半导体,56.458333333333336,6,trial,91.66666666666669,37.5,,0.0,0
2026-06-29,新能源汽车,54.16666666666666,7,trial,54.16666666666666,,,0.0,0
2026-06-29,旅游,75.0,2,trial,75.0,,,0.0,0
2026-06-29,机器人,70.625,4,trial,62.5,75.0,,0.0,0
2026-06-29,消费零售,8.333333333333332,12,trial,8.333333333333332,,,0.0,0
2026-06-29,物流供应链,58.33333333333334,5,trial,58.333333333333336,,,0.0,0
2026-06-29,网络安全,86.875,1,trial,62.50000000000001,100.0,,0.0,0
2026-06-29,跨境电商,41.66666666666666,8,trial,41.66666666666666,,,0.0,0
2026-06-30,人工智能,54.375,6,trial,62.50000000000001,50.0,,-19.166666666666657,-3
2026-06-30,低空经济,41.66666666666666,9,trial,41.66666666666666,,,4.166666666666657,1
2026-06-30,储能,20.83333333333333,11,trial,20.83333333333333,,,0.0,0
2026-06-30,医药健康,66.66666666666666,4,trial,66.66666666666666,,,27.08333333333333,5
2026-06-30,半导体,48.333333333333336,8,trial,91.66666666666669,25.0,,-8.125,-2
2026-06-30,新能源汽车,50.0,7,trial,50.0,,,-4.166666666666657,0
2026-06-30,旅游,75.0,2,trial,75.0,,,0.0,0
2026-06-30,机器人,69.16666666666666,3,trial,58.33333333333333,75.0,,-1.4583333333333428,1
2026-06-30,消费零售,8.333333333333332,12,trial,8.333333333333332,,,0.0,0
2026-06-30,物流供应链,58.33333333333334,5,trial,58.333333333333336,,,0.0,0
2026-06-30,网络安全,92.70833333333331,1,trial,79.16666666666666,100.0,,5.833333333333314,0
2026-06-30,跨境电商,37.5,10,trial,37.5,,,-4.166666666666657,-2
2026-07-01,人工智能,52.91666666666667,6,trial,58.333333333333336,50.0,,-1.4583333333333286,0
2026-07-01,低空经济,45.83333333333334,9,trial,45.833333333333336,,,4.166666666666686,0
2026-07-01,储能,20.83333333333333,11,trial,20.83333333333333,,,0.0,0
2026-07-01,医药健康,66.66666666666666,4,trial,66.66666666666666,,,0.0,0
2026-07-01,半导体,48.333333333333336,8,trial,91.66666666666669,25.0,,0.0,0
2026-07-01,新能源汽车,50.0,7,trial,50.0,,,0.0,0
2026-07-01,旅游,75.0,2,trial,75.0,,,0.0,0
2026-07-01,机器人,69.16666666666666,3,trial,58.33333333333333,75.0,,0.0,0
2026-07-01,消费零售,8.333333333333332,12,trial,8.333333333333332,,,0.0,0
